index,time,type,process,f,value,error,time_seconds,time_diff_seconds
323,4161387988,invoke,7.0,write,0,,4.161387988,0.0018479980000005725
324,4163078110,invoke,8.0,cas,0,,4.16307811,0.0016901219999994055
325,4165122711,invoke,2.0,read,0,,4.165122711,0.00204460100000059
326,4166284678,invoke,4.0,read,0,,4.166284678,0.0011619669999998194
327,4172550432,ok,6.0,write,0,,4.172550432,0.006265754000000179
328,4172667912,ok,5.0,write,0,,4.172667912,0.00011747999999922598
329,4172717347,ok,0.0,read,0,,4.172717347,4.943500000020862e-05
330,4172755021,ok,9.0,write,0,,4.172755021,3.767400000054266e-05
331,4172782644,invoke,0.0,read,0,,4.172782644,2.7622999999366016e-05
332,4175154035,invoke,1.0,read,0,,4.175154035,0.0023713910000005
333,4176813074,invoke,6.0,cas,0,,4.176813074,0.0016590389999997512
334,4177434495,invoke,9.0,write,0,,4.177434495,0.0006214209999999554
335,4178119299,ok,3.0,read,0,,4.178119299,0.0006848039999995947
336,4178237489,invoke,5.0,write,0,,4.178237489,0.00011819000000024005
337,4182280040,invoke,3.0,read,0,,4.18228004,0.004042551000000394
338,4188227670,ok,4.0,read,0,,4.18822767,0.0059476299999996485
339,4188378519,invoke,4.0,read,0,,4.188378519,0.0001508489999997309
340,4189709977,ok,7.0,write,0,,4.189709977,0.0013314580000001186
341,4189860469,invoke,7.0,write,0,,4.189860469,0.00015049200000039065
342,4190350737,ok,1.0,read,0,,4.190350737,0.0004902680000000714
343,4191409611,invoke,1.0,read,0,,4.191409611,0.001058873999999932
344,4198805885,ok,1.0,read,0,,4.198805885,0.007396273999999536
345,4198944668,invoke,1.0,read,0,,4.198944668,0.0001387830000005863
346,4199679670,ok,4.0,read,0,,4.19967967,0.0007350019999998736
347,4199792056,invoke,4.0,read,0,,4.199792056,0.00011238599999963128
348,4200155133,ok,2.0,read,0,,4.200155133,0.000363077000000267
349,4200610521,fail,6.0,cas,0,,4.200610521,0.00045538799999977897
350,4200981031,ok,3.0,read,0,,4.200981031,0.0003705100000006567
351,4201831054,fail,8.0,cas,0,,4.201831054,0.000850022999999922
352,4202055191,invoke,2.0,read,0,,4.202055191,0.00022413700000001313
353,4202991080,invoke,3.0,read,0,,4.20299108,0.0009358889999999676
354,4203884008,ok,5.0,write,0,,4.203884008,0.0008929279999998485
355,4206346945,invoke,6.0,cas,0,,4.206346945,0.0024629369999997763
356,4210335900,ok,0.0,read,0,,4.2103359,0.003988954999999628
357,4210508438,invoke,8.0,cas,0,,4.210508438,0.0001725380000001664
358,4214837891,invoke,5.0,write,0,,4.214837891,0.004329453000000427
359,4216618032,ok,9.0,write,0,,4.216618032,0.001780141000000235
360,4216686990,ok,1.0,read,0,,4.21668699,6.895799999995234e-05
361,4216728750,invoke,0.0,read,0,,4.21672875,4.175999999933566e-05
362,4217087263,ok,3.0,read,0,,4.217087263,0.00035851300000011577
363,4219325926,invoke,1.0,read,0,,4.219325926,0.002238662999999974
364,4222222901,invoke,9.0,cas,0,,4.222222901,0.0028969750000005234
365,4222908990,ok,7.0,write,0,,4.22290899,0.0006860889999993347
366,4222960114,ok,2.0,read,0,,4.222960114,5.112400000051309e-05
